name,date,value
C,2001-5-30,20.24
C,2001-6-30,20.77
C,2001-7-30,20.75
C,2001-8-28,20.77
C,2001-9-26,19.75
C,2001-10-28,19.21
C,2001-11-31,20.14
C,2002-0-30,18.83
C,2002-1-27,19.89
C,2002-2-29,19.85
C,2002-3-29,19.82
C,2002-4-29,19.99
C,2002-5-29,19.57
C,2002-6-31,19.25
C,2002-7-29,18.16
C,2002-8-29,18.70
C,2002-9-30,18.73
C,2002-10-29,17.50
C,2002-11-31,17.26
C,2003-0-31,18.25
C,2003-1-28,18.54
C,2003-2-31,17.21
C,2003-3-30,18.02
C,2003-4-30,18.50
C,2003-5-30,18.52
C,2003-6-31,17.97
C,2003-7-31,17.78
C,2003-8-30,18.31
C,2003-9-31,17.00
C,2003-10-30,18.47
C,2003-11-31,18.60
C,2004-0-31,18.20
C,2004-1-29,18.93
C,2004-2-31,17.75
C,2004-3-30,17.95
C,2004-4-30,18.29
C,2004-5-30,17.14
C,2004-6-31,16.33
C,2004-7-30,17.12
C,2004-8-30,18.17
C,2004-9-31,17.99
C,2004-10-30,19.70
C,2004-11-31,20.71
C,2005-0-31,19.82
C,2005-1-28,19.47
C,2005-2-31,18.63
C,2005-3-30,18.52
C,2005-4-31,19.37
C,2005-5-30,19.85
C,2005-6-31,19.47
C,2005-7-31,19.16
C,2005-8-30,18.77
C,2005-11-3,19.63
C,2006-0-4,19.01
C,2006-1-2,18.33
C,2006-2-1,17.79
C,2006-3-2,17.69
C,2006-4-1,17.69
C,2006-5-1,18.25
C,2006-6-2,17.83
C,2006-7-2,17.43
C,2006-8-2,18.06
C,2006-9-1,17.66
C,2006-10-2,17.20
C,2006-11-1,16.62
C,2007-0-2,15.81
C,2007-1-3,16.10
C,2007-2-3,15.63
C,2007-3-1,14.94
C,2007-4-5,15.15
C,2007-5-2,15.97
C,2007-6-2,16.36
C,2007-7-5,15.70
C,2007-8-2,14.91
C,2007-9-4,14.59
C,2007-10-4,13.97
C,2007-11-3,13.17
C,2008-0-3,13.92
C,2008-1-7,14.86
C,2008-5-1,15.51
C,2008-6-2,15.95
C,2008-7-3,16.18
C,2008-8-3,15.38
C,2008-9-6,15.57
C,2008-10-2,15.28
C,2008-11-3,15.02
C,2009-0-2,15.93
C,2009-1-1,15.84
C,2009-2-5,15.86
C,2009-3-7,15.47
C,2009-4-1,16.13
C,2009-5-4,16.78
C,2009-6-2,17.32
C,2009-7-1,17.22
C,2009-8-5,16.86
C,2009-9-2,16.84
C,2009-10-2,17.32
C,2009-11-2,16.28
C,2010-0-5,16.22
C,2010-1-7,16.60
C,2010-2-7,17.28
C,2010-3-5,18.06
C,2010-4-15,18.19
C,2010-6-6,18.48
C,2010-6-30,17.87
C,2010-8-11,17.15
C,2010-9-2,17.18
C,2010-10-3,16.72
C,2010-11-7,16.08
C,2011-0-2,15.82
C,2011-1-8,14.99
C,2011-2-8,15.26
C,2011-3-3,16.16
C,2011-4-2,16.17
C,2011-5-5,16.28
C,2011-5-27,16.28
C,2011-6-8,17.28
C,2011-7-3,17.39
C,2011-8-10,18.00
C,2011-9-9,17.71
C,2011-10-7,17.32
C,2011-11-4,17.06
C,2012-0-8,16.97
C,2012-1-5,16.52
C,2012-2-11,17.09
C,2012-3-8,17.55
C,2012-4-9,17.35
C,2012-5-10,17.72
C,2012-6-4,18.33
C,2012-7-10,18.94
C,2012-8-2,19.30
C,2012-9-5,19.82
C,2012-10-4,19.22
C,2012-11-2,18.70
C,2013-0-5,17.85
C,2013-1-8,17.08
C,2013-2-11,17.14
C,2013-3-7,17.86
C,2013-4-8,18.73
C,2013-5-9,17.81
C,2013-6-7,17.63
C,2013-6-12,17.63
C,2013-7-4,15.97
C,2013-8-11,16.98
C,2013-9-10,17.25
C,2013-10-9,18.16
C,2013-11-6,17.89
C,2014-0-1,17.94
C,2014-1-8,18.33
C,2014-2-3,17.53
C,2014-3-10,17.63
C,2014-4-7,16.93
C,2014-5-8,16.19
C,2014-6-6,17.14
C,2014-7-11,16.40
C,2014-8-1,16.72
C,2014-9-3,17.66
C,2014-10-8,17.47
C,2014-11-7,17.59
C,2015-0-6,16.70
C,2015-1-5,16.49
C,2015-2-7,16.64
C,2015-3-13,15.75
C,2015-4-13,16.85
C,2015-5-6,16.79
C,2015-6-12,16.15
C,2015-7-6,14.73
C,2015-8-5,15.62
C,2015-9-4,16.19
C,2015-10-7,17.15
C,2015-11-4,16.46
C,2016-0-2,16.04
C,2016-1-2,15.59
C,2016-2-3,14.60
C,2016-3-7,13.91
C,2016-4-6,13.22
C,2016-5-5,12.38
C,2016-6-4,12.24
C,2016-7-6,11.30
C,2016-8-8,10.95
C,2016-9-7,9.84
C,2016-10-5,9.20
C,2016-11-4,8.73
C,2017-0-7,9.35
C,2017-1-8,8.44
C,2017-2-7,7.74
C,2017-3-9,6.97
C,2017-4-6,7.00
C,2017-5-3,6.85
C,2017-6-7,7.32
C,2017-7-2,6.48
C,2017-8-6,7.38
C,2017-9-5,8.37
C,2017-10-12,9.29
C,2017-11-9,10.16
C,2018-0-3,11.04
C,2018-1-8,11.86
C,2018-2-7,12.76
C,2018-3-1,13.59
C,2018-4-6,14.00
C,2018-5-10,14.94
C,2018-6-7,14.66
C,2018-7-1,14.97
C,2018-8-3,15.45
C,2018-9-5,15.38
C,2018-10-8,14.40
C,2018-11-2,14.28
C,2019-0-4,13.34
C,2019-1-6,12.42
C,2019-2-2,13.31
C,2019-3-7,14.08
C,2019-4-4,14.24
C,2019-5-9,13.30
C,2019-6-6,14.21
C,2019-7-5,15.15
C,2019-8-9,15.21
C,2019-9-5,16.18
C,2019-10-3,16.04
C,2019-11-6,16.09
C,2020-0-5,15.77
C,2020-1-4,16.77
C,2020-2-4,16.33
C,2020-3-2,16.72
C,2020-4-2,17.07
Java,2001-5-30,26.49
Java,2001-6-30,25.03
Java,2001-7-30,24.66
Java,2001-8-28,24.82
Java,2001-9-26,25.68
Java,2001-10-28,24.37
Java,2001-11-31,24.20
Java,2002-0-30,24.06
Java,2002-1-27,24.01
Java,2002-2-29,24.41
Java,2002-3-29,25.05
Java,2002-4-29,25.19
Java,2002-5-29,24.20
Java,2002-6-31,24.53
Java,2002-7-29,22.89
Java,2002-8-29,24.48
Java,2002-9-30,24.20
Java,2002-10-29,24.12
Java,2002-11-31,24.23
Java,2003-0-31,24.79
Java,2003-1-28,24.78
Java,2003-2-31,24.60
Java,2003-3-30,24.66
Java,2003-4-30,23.11
Java,2003-5-30,22.34
Java,2003-6-31,23.21
Java,2003-7-31,22.24
Java,2003-8-30,21.90
Java,2003-9-31,23.08
Java,2003-10-30,25.01
Java,2003-11-31,23.57
Java,2004-0-31,22.56
Java,2004-1-29,23.17
Java,2004-2-31,24.24
Java,2004-3-30,18.69
Java,2004-4-30,17.54
Java,2004-5-30,17.05
Java,2004-6-31,17.00
Java,2004-7-30,15.90
Java,2004-8-30,17.05
Java,2004-9-31,14.80
Java,2004-10-30,16.33
Java,2004-11-31,17.48
Java,2005-0-31,18.34
Java,2005-1-28,18.87
Java,2005-2-31,16.98
Java,2005-3-30,17.40
Java,2005-4-31,18.57
Java,2005-5-30,19.66
Java,2005-6-31,21.21
Java,2005-7-31,22.44
Java,2005-8-30,21.87
Java,2005-11-3,22.13
Java,2006-0-4,22.25
Java,2006-1-2,22.43
Java,2006-2-1,21.89
Java,2006-3-2,21.28
Java,2006-4-1,21.32
Java,2006-5-1,21.13
Java,2006-6-2,21.85
Java,2006-7-2,22.38
Java,2006-8-2,21.53
Java,2006-9-1,21.17
Java,2006-10-2,20.40
Java,2006-11-1,19.91
Java,2007-0-2,19.16
Java,2007-1-3,18.98
Java,2007-2-3,18.04
Java,2007-3-1,18.36
Java,2007-4-5,19.14
Java,2007-5-2,20.03
Java,2007-6-2,21.01
Java,2007-7-5,21.77
Java,2007-8-2,21.70
Java,2007-9-4,21.62
Java,2007-10-4,20.54
Java,2007-11-3,20.05
Java,2008-0-3,20.85
Java,2008-1-7,21.48
Java,2008-5-1,20.89
Java,2008-6-2,21.34
Java,2008-7-3,21.57
Java,2008-8-3,20.71
Java,2008-9-6,20.95
Java,2008-10-2,20.30
Java,2008-11-3,17.92
Java,2009-0-2,19.02
Java,2009-1-1,19.40
Java,2009-2-5,19.80
Java,2009-3-7,19.34
Java,2009-4-1,19.54
Java,2009-5-4,20.15
Java,2009-6-2,20.45
Java,2009-7-1,19.53
Java,2009-8-5,19.38
Java,2009-9-2,18.65
Java,2009-10-2,18.37
Java,2009-11-2,17.06
Java,2010-0-5,17.48
Java,2010-1-7,17.35
Java,2010-2-7,17.51
Java,2010-3-5,18.05
Java,2010-4-15,17.96
Java,2010-6-6,18.67
Java,2010-6-30,17.99
Java,2010-8-11,17.92
Java,2010-9-2,18.17
Java,2010-10-3,18.51
Java,2010-11-7,18.00
Java,2011-0-2,17.77
Java,2011-1-8,18.48
Java,2011-2-8,19.71
Java,2011-3-3,19.04
Java,2011-4-2,18.16
Java,2011-5-5,18.58
Java,2011-5-27,18.58
Java,2011-6-8,19.25
Java,2011-7-3,19.41
Java,2011-8-10,18.76
Java,2011-9-9,17.91
Java,2011-10-7,17.87
Java,2011-11-4,17.56
Java,2012-0-8,17.47
Java,2012-1-5,17.05
Java,2012-2-11,17.11
Java,2012-3-8,17.03
Java,2012-4-9,16.60
Java,2012-5-10,16.26
Java,2012-6-4,16.09
Java,2012-7-10,16.35
Java,2012-8-2,16.27
Java,2012-9-5,17.19
Java,2012-10-4,17.46
Java,2012-11-2,17.57
Java,2013-0-5,17.42
Java,2013-1-8,18.39
Java,2013-2-11,18.16
Java,2013-3-7,17.68
Java,2013-4-8,16.91
Java,2013-5-9,16.66
Java,2013-6-7,15.91
Java,2013-6-12,15.91
Java,2013-7-4,15.98
Java,2013-8-11,16.15
Java,2013-9-10,16.11
Java,2013-10-9,16.52
Java,2013-11-6,17.31
Java,2014-0-1,16.52
Java,2014-1-8,17.32
Java,2014-2-3,16.41
Java,2014-3-10,17.35
Java,2014-4-7,16.91
Java,2014-5-8,16.11
Java,2014-6-6,15.69
Java,2014-7-11,14.98
Java,2014-8-1,14.14
Java,2014-9-3,13.51
Java,2014-10-8,14.39
Java,2014-11-7,14.96
Java,2015-0-6,15.53
Java,2015-1-5,15.34
Java,2015-2-7,15.58
Java,2015-3-13,16.04
Java,2015-4-13,16.87
Java,2015-5-6,17.82
Java,2015-6-12,17.73
Java,2015-7-6,19.27
Java,2015-8-5,19.56
Java,2015-9-4,19.54
Java,2015-10-7,20.40
Java,2015-11-4,20.97
Java,2016-0-2,21.47
Java,2016-1-2,21.14
Java,2016-2-3,20.53
Java,2016-3-7,20.85
Java,2016-4-6,20.96
Java,2016-5-5,20.79
Java,2016-6-4,19.80
Java,2016-7-6,19.01
Java,2016-8-8,18.24
Java,2016-9-7,18.80
Java,2016-10-5,18.75
Java,2016-11-4,17.86
Java,2017-0-7,17.28
Java,2017-1-8,16.68
Java,2017-2-7,16.38
Java,2017-3-9,15.57
Java,2017-4-6,14.64
Java,2017-5-3,14.49
Java,2017-6-7,13.77
Java,2017-7-2,12.96
Java,2017-8-6,12.69
Java,2017-9-5,12.43
Java,2017-10-12,13.23
Java,2017-11-9,13.27
Java,2018-0-3,14.22
Java,2018-1-8,14.99
Java,2018-2-7,14.94
Java,2018-3-1,15.78
Java,2018-4-6,16.38
Java,2018-5-10,15.37
Java,2018-6-7,16.14
Java,2018-7-1,16.88
Java,2018-8-3,17.44
Java,2018-9-5,17.80
Java,2018-10-8,16.75
Java,2018-11-2,15.93
Java,2019-0-4,16.90
Java,2019-1-6,15.88
Java,2019-2-2,14.88
Java,2019-3-7,15.04
Java,2019-4-4,16.00
Java,2019-5-9,15.00
Java,2019-6-6,15.06
Java,2019-7-5,16.03
Java,2019-8-9,16.66
Java,2019-9-5,16.88
Java,2019-10-3,16.25
Java,2019-11-6,17.25
Java,2020-0-5,16.90
Java,2020-1-4,17.36
Java,2020-2-4,17.78
Java,2020-3-2,16.73
Java,2020-4-2,16.28
Python,2001-5-30,1.25
Python,2001-6-30,1.13
Python,2001-7-30,1.20
Python,2001-8-28,1.17
Python,2001-9-26,1.28
Python,2001-10-28,1.23
Python,2001-11-31,1.04
Python,2002-0-30,1.02
Python,2002-1-27,0.99
Python,2002-2-29,0.99
Python,2002-3-29,1.07
Python,2002-4-29,1.06
Python,2002-5-29,1.13
Python,2002-6-31,1.08
Python,2002-7-29,1.22
Python,2002-8-29,1.08
Python,2002-9-30,1.19
Python,2002-10-29,1.00
Python,2002-11-31,1.00
Python,2003-0-31,1.03
Python,2003-1-28,0.97
Python,2003-2-31,0.99
Python,2003-3-30,1.01
Python,2003-4-30,1.16
Python,2003-5-30,1.28
Python,2003-6-31,1.30
Python,2003-7-31,1.42
Python,2003-8-30,1.49
Python,2003-9-31,1.77
Python,2003-10-30,1.10
Python,2003-11-31,1.13
Python,2004-0-31,1.01
Python,2004-1-29,1.02
Python,2004-2-31,1.01
Python,2004-3-30,4.57
Python,2004-4-30,6.58
Python,2004-5-30,4.96
Python,2004-6-31,4.70
Python,2004-7-30,5.60
Python,2004-8-30,4.44
Python,2004-9-31,5.20
Python,2004-10-30,3.03
Python,2004-11-31,2.84
Python,2005-0-31,2.51
Python,2005-1-28,2.42
Python,2005-2-31,2.70
Python,2005-3-30,2.48
Python,2005-4-31,2.80
Python,2005-5-30,2.52
Python,2005-6-31,2.88
Python,2005-7-31,3.03
Python,2005-8-30,2.88
Python,2005-11-3,2.68
Python,2006-0-4,2.60
Python,2006-1-2,2.67
Python,2006-2-1,3.09
Python,2006-3-2,2.76
Python,2006-4-1,3.04
Python,2006-5-1,3.46
Python,2006-6-2,3.02
Python,2006-7-2,3.07
Python,2006-8-2,3.14
Python,2006-9-1,3.47
Python,2006-10-2,3.64
Python,2006-11-1,3.76
Python,2007-0-2,3.50
Python,2007-1-3,3.57
Python,2007-2-3,3.90
Python,2007-3-1,3.81
Python,2007-4-5,3.78
Python,2007-5-2,3.16
Python,2007-6-2,3.02
Python,2007-7-5,2.75
Python,2007-8-2,3.03
Python,2007-9-4,3.43
Python,2007-10-4,4.23
Python,2007-11-3,4.70
Python,2008-0-3,5.54
Python,2008-1-7,4.76
Python,2008-5-1,4.90
Python,2008-6-2,4.97
Python,2008-7-3,4.98
Python,2008-8-3,5.01
Python,2008-9-6,4.56
Python,2008-10-2,5.14
Python,2008-11-3,4.17
Python,2009-0-2,4.73
Python,2009-1-1,4.57
Python,2009-2-5,5.18
Python,2009-3-7,6.08
Python,2009-4-1,5.55
Python,2009-5-4,4.76
Python,2009-6-2,4.43
Python,2009-7-1,4.49
Python,2009-8-5,3.93
Python,2009-9-2,3.90
Python,2009-10-2,4.67
Python,2009-11-2,5.19
Python,2010-0-5,4.45
Python,2010-1-7,4.31
Python,2010-2-7,4.23
Python,2010-3-5,4.21
Python,2010-4-15,4.10
Python,2010-6-6,4.22
Python,2010-6-30,4.22
Python,2010-8-11,4.58
Python,2010-9-2,4.86
Python,2010-10-3,5.68
Python,2010-11-7,6.48
Python,2011-0-2,6.26
Python,2011-1-8,7.04
Python,2011-2-8,5.74
Python,2011-3-3,4.93
Python,2011-4-2,4.58
Python,2011-5-5,3.90
Python,2011-5-27,3.90
Python,2011-6-8,3.58
Python,2011-7-3,3.41
Python,2011-8-10,4.00
Python,2011-9-9,3.94
Python,2011-10-7,3.62
Python,2011-11-4,3.49
Python,2012-0-8,3.21
Python,2012-1-5,3.15
Python,2012-2-11,3.29
Python,2012-3-8,3.66
Python,2012-4-9,3.82
Python,2012-5-10,3.85
Python,2012-6-4,4.00
Python,2012-7-10,3.88
Python,2012-8-2,3.86
Python,2012-9-5,3.90
Python,2012-10-4,4.06
Python,2012-11-2,3.85
Python,2013-0-5,4.17
Python,2013-1-8,4.95
Python,2013-2-11,4.39
Python,2013-3-7,4.44
Python,2013-4-8,4.32
Python,2013-5-9,4.18
Python,2013-6-7,4.03
Python,2013-6-12,4.03
Python,2013-7-4,3.60
Python,2013-8-11,3.17
Python,2013-9-10,3.11
Python,2013-10-9,3.11
Python,2013-11-6,2.21
Python,2014-0-1,2.37
Python,2014-1-8,2.16
Python,2014-2-3,2.02
Python,2014-3-10,1.99
Python,2014-4-7,3.06
Python,2014-5-8,2.71
Python,2014-6-6,2.66
Python,2014-7-11,3.12
Python,2014-8-1,2.78
Python,2014-9-3,2.33
Python,2014-10-8,2.59
Python,2014-11-7,2.29
Python,2015-0-6,2.61
Python,2015-1-5,2.88
Python,2015-2-7,2.61
Python,2015-3-13,2.69
Python,2015-4-13,3.72
Python,2015-5-6,4.00
Python,2015-6-12,4.26
Python,2015-7-6,4.07
Python,2015-8-5,3.66
Python,2015-9-4,4.51
Python,2015-10-7,3.77
Python,2015-11-4,4.43
Python,2016-0-2,3.85
Python,2016-1-2,4.18
Python,2016-2-3,4.26
Python,2016-3-7,3.33
Python,2016-4-6,3.79
Python,2016-5-5,3.90
Python,2016-6-4,4.17
Python,2016-7-6,4.40
Python,2016-8-8,4.30
Python,2016-9-7,3.77
Python,2016-10-5,3.57
Python,2016-11-4,4.24
Python,2017-0-7,3.46
Python,2017-1-8,4.04
Python,2017-2-7,3.92
Python,2017-3-9,3.46
Python,2017-4-6,3.55
Python,2017-5-3,4.33
Python,2017-6-7,3.54
Python,2017-7-2,3.69
Python,2017-8-6,2.98
Python,2017-9-5,3.80
Python,2017-10-12,4.48
Python,2017-11-9,3.78
Python,2018-0-3,4.68
Python,2018-1-8,5.17
